M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
553400.0,8.268006973781965
553500.0,8.268006973781965
553600.0,8.268006973781965
553700.0,8.268006973781965
553800.0,8.268006973781965
553900.0,8.268006973781965
554000.0,8.268006973781965
554100.0,8.268006973781965
554200.0,8.268006973781965
554300.0,8.268006973781965
554400.0,8.268006973781965
554500.0,8.268006973781965
554600.0,8.268006973781965
554700.0,8.268006973781965
554800.0,8.268006973781965
554900.0,8.268006973781965
555000.0,8.268006973781965
555100.0,8.268006973781965
555200.0,8.268006973781965
555300.0,8.268006973781965
555400.0,8.268006973781965
555500.0,8.268006973781965
555600.0,8.268006973781965
555700.0,8.268006973781965
555800.0,8.268006973781965
555900.0,8.268006973781965
556000.0,8.268006973781965
556100.0,8.268006973781965
556200.0,8.268006973781965
556300.0,8.268006973781965
556400.0,8.268006973781965
556500.0,8.268006973781965
556600.0,8.268006973781965
556700.0,8.268006973781965
556800.0,8.268006973781965
556900.0,8.268006973781965
557000.0,8.268006973781965
557100.0,8.268006973781965
557200.0,8.268006973781965
557300.0,8.268006973781965
557400.0,8.268006973781965
557500.0,8.268006973781965
557600.0,8.268006973781965
557700.0,8.268006973781965
557800.0,8.268006973781965
557900.0,8.268006973781965
558000.0,8.268006973781965
558100.0,8.268006973781965
558200.0,8.268006973781965
558300.0,8.268006973781965
558400.0,8.268006973781965
558500.0,8.268006973781965
558600.0,8.268006973781965
558700.0,8.268006973781965
558800.0,8.268006973781965
558900.0,8.268006973781965
559000.0,8.268006973781965
559100.0,8.268006973781965
559200.0,8.268006973781965
559300.0,8.268006973781965
559400.0,8.268006973781965
559500.0,8.268006973781965
559600.0,8.268006973781965
559700.0,8.268006973781965
559800.0,8.268006973781965
559900.0,8.268006973781965
560000.0,8.268006973781965
560100.0,8.268006973781965
560200.0,8.268006973781965
560300.0,8.268006973781965
560400.0,8.268006973781965
560500.0,8.268006973781965
560600.0,8.268006973781965
560700.0,8.268006973781965
560800.0,8.268006973781965
560900.0,8.268006973781965
561000.0,8.268006973781965
561100.0,8.268006973781965
561200.0,8.268006973781965
561300.0,8.268006973781965
561400.0,8.268006973781965
561500.0,8.268006973781965
561600.0,8.268006973781965
561700.0,8.268006973781965
561800.0,8.268006973781965
561900.0,8.268006973781965
562000.0,8.268006973781965
562100.0,8.268006973781965
562200.0,8.268006973781965
562300.0,8.268006973781965
562400.0,8.268006973781965
562500.0,8.268006973781965
562600.0,8.268006973781965
562700.0,8.268006973781965
562800.0,8.268006973781965
562900.0,8.268006973781965
563000.0,8.268006973781965
563100.0,8.268006973781965
563200.0,8.268006973781965
563300.0,8.268006973781965
563400.0,8.268006973781965
563500.0,8.268006973781965
563600.0,8.268006973781965
563700.0,8.268006973781965
563800.0,8.268006973781965
563900.0,8.268006973781965
564000.0,8.268006973781965
564100.0,8.268006973781965
564200.0,8.268006973781965
564300.0,8.268006973781965
564400.0,8.268006973781965
564500.0,8.268006973781965
